"id","code","description","parent_id:id","country_id:id","state_id:id","city_id:id","internal_type"
"fiscal_operation_service_132","04.17.01","serviços de casa de repouso, de recuperação, asilo ou congênere","fiscal_operation_service_131","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_133","04.18   ","Inseminação artificial, fertilização in vitro e congêneres.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_134","04.18.01","inseminação artificial, fertilização in vitro ou congênere","fiscal_operation_service_133","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_135","04.18.02","reprodução assistida","fiscal_operation_service_133","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_136","04.19   ","Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_137","04.19.01","serviços de banco de sangue ou congênere","fiscal_operation_service_136","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_138","04.19.02","serviços de banco de leite, cordões umbilicais, pele, olhos, demais órgãos ou tecidos ou congênere","fiscal_operation_service_136","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_139","04.19.03","serviços de banco de óvulos, sêmem ou congênere","fiscal_operation_service_136","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_140","04.20   ","Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_141","04.20.01","coleta de sangue","fiscal_operation_service_140","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_142","04.20.02","coleta de leite, tecidos, sêmen, órgãos ou materiais biológicos de qualquer espécie","fiscal_operation_service_140","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_143","04.21   ","Unidade de atendimento, assistência ou tratamento móvel e congêneres.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_144","04.21.01","serviços de unidade de atendimento, assistência ou tratamento móve, ou congênere","fiscal_operation_service_143","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_145","04.22   ","Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres. ","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_146","04.22.01","plano de medicina de grupo ou congênere","fiscal_operation_service_145","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_147","04.22.02","plano de medicina individual ou congênere","fiscal_operation_service_145","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_148","04.22.03","convênio para prestação de assistência médica, hospitalar, odontológica e congêneres","fiscal_operation_service_145","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_149","04.23   ","Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_150","04.23.01","plano de saúde cumprido através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário","fiscal_operation_service_149","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_151","05      ","Serviços de medicina e assistência veterinária e congêneres.";;"base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_152","05.01   ","Medicina veterinária e zootecnia.","fiscal_operation_service_151","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_153","05.01.01","medicina veterinária","fiscal_operation_service_152","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_154","05.01.02","zootecnia","fiscal_operation_service_152","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_155","05.02   ","Hospitais, clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária.","fiscal_operation_service_151","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
