"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id"
cep_57017170,"l10n_br_base.br_al","57017170","Antônio Lisboa da Silva","Rua","Levada","l10n_br_base.city_1695"
cep_57015360,"l10n_br_base.br_al","57015360","Santa Amélia","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57017175,"l10n_br_base.br_al","57017175","Senador Rui Palmeira","Avenida","Levada","l10n_br_base.city_1695"
cep_57015340,"l10n_br_base.br_al","57015340","Getúlio Correia Lima","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57015330,"l10n_br_base.br_al","57015330","da Mangueira","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57015390,"l10n_br_base.br_al","57015390","São José","Travessa","Vergel do Lago","l10n_br_base.city_1695"
cep_57015320,"l10n_br_base.br_al","57015320","Largo da Paz","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57015400,"l10n_br_base.br_al","57015400","São Vicente","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57015300,"l10n_br_base.br_al","57015300","Radialista Djalma Valença","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57045274,"l10n_br_base.br_al","57045274","Muniz Falcão","2ª Travessa","Barro Duro","l10n_br_base.city_1695"
cep_57015370,"l10n_br_base.br_al","57015370","São Bento","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57017211,"l10n_br_base.br_al","57017211","Nova Vila","Travessa","Bom Parto","l10n_br_base.city_1695"
cep_57015280,"l10n_br_base.br_al","57015280","Doutor Rocha Cavalcante","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57015870,"l10n_br_base.br_al","57015870","José Camelo de Freitas","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57017050,"l10n_br_base.br_al","57017050","Cirilo de Castro","Rua","Levada","l10n_br_base.city_1695"
cep_57017195,"l10n_br_base.br_al","57017195","Benfica","Vila","Levada","l10n_br_base.city_1695"
cep_57017225,"l10n_br_base.br_al","57017225","Governador Afrânio Lages","Avenida","Bom Parto","l10n_br_base.city_1695"
cep_57017224,"l10n_br_base.br_al","57017224","AB","Quadra","Bom Parto","l10n_br_base.city_1695"
cep_57017222,"l10n_br_base.br_al","57017222","A2","Quadra","Bom Parto","l10n_br_base.city_1695"
cep_57017160,"l10n_br_base.br_al","57017160","Barão de Alagoas","Rua","Levada","l10n_br_base.city_1695"
cep_57017215,"l10n_br_base.br_al","57017215","Cabo Olivaldo Barbosa","Rua","Bom Parto","l10n_br_base.city_1695"
cep_57015890,"l10n_br_base.br_al","57015890","Prefeito Corintho Campelo da Paz","Avenida","Vergel do Lago","l10n_br_base.city_1695"
cep_57017210,"l10n_br_base.br_al","57017210","Nova Vila","Rua","Bom Parto","l10n_br_base.city_1695"
cep_57017120,"l10n_br_base.br_al","57017120","Emílio de Maia","Praça","Levada","l10n_br_base.city_1695"
cep_57017200,"l10n_br_base.br_al","57017200","General Hermes","Rua","Bom Parto","l10n_br_base.city_1695"
cep_57015820,"l10n_br_base.br_al","57015820","Wilson Nogueira","Travessa","Vergel do Lago","l10n_br_base.city_1695"
cep_57017190,"l10n_br_base.br_al","57017190","Jardim São Francisco","Vila","Levada","l10n_br_base.city_1695"
cep_57017185,"l10n_br_base.br_al","57017185","Luzia Suruagy","Travessa","Levada","l10n_br_base.city_1695"
cep_57017180,"l10n_br_base.br_al","57017180","Luzia Suruagy","Rua","Levada","l10n_br_base.city_1695"
cep_57017220,"l10n_br_base.br_al","57017220","Padre Cícero","Rua","Bom Parto","l10n_br_base.city_1695"
cep_57010770,"l10n_br_base.br_al","57010770","São Pedro","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010840,"l10n_br_base.br_al","57010840","Doutor José Carneiro","Rua","Pontal da Barra","l10n_br_base.city_1695"
cep_57010740,"l10n_br_base.br_al","57010740","José Pimentel Leite Passos","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010730,"l10n_br_base.br_al","57010730","José Marques Ribeiro","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010720,"l10n_br_base.br_al","57010720","José Ferreira","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010710,"l10n_br_base.br_al","57010710","Doze de Outubro","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010700,"l10n_br_base.br_al","57010700","Chile","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57036510,"l10n_br_base.br_al","57036510","Doutor José Afonso de Melo","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57010680,"l10n_br_base.br_al","57010680","Boa Viagem","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010780,"l10n_br_base.br_al","57010780","Sebastião Bernardo Caldas","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57036470,"l10n_br_base.br_al","57036470","Cônego Antônio Firmino de Vasconcelos","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57036600,"l10n_br_base.br_al","57036600","Industrial José Otávio Moreira","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57036590,"l10n_br_base.br_al","57036590","Industrial Climério Sarmento","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57036580,"l10n_br_base.br_al","57036580","General Newton de Andrade Cavalcante","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57036560,"l10n_br_base.br_al","57036560","Estudante Alexandre Gonçalves Sarmento","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57036550,"l10n_br_base.br_al","57036550","Engenheiro Paulo Brandão Nogueira","Avenida","Jatiúca","l10n_br_base.city_1695"
cep_57045272,"l10n_br_base.br_al","57045272","Muniz Falcão","3ª Travessa","Barro Duro","l10n_br_base.city_1695"
cep_57010690,"l10n_br_base.br_al","57010690","Bom Jesus dos Navegantes","Travessa","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010750,"l10n_br_base.br_al","57010750","Padre José de Anchieta","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010670,"l10n_br_base.br_al","57010670","Doutor Antônio Rodrigo Ramalho","Praça","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010540,"l10n_br_base.br_al","57010540","Professor Almeida Leite","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010530,"l10n_br_base.br_al","57010530","Benigno Bezerra","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010520,"l10n_br_base.br_al","57010520","Sebastião Vasconcelos","Rua","Trapiche da Barra","l10n_br_base.city_1695"
